method,baseline_size,final_size,size_reduction,baseline_score,final_score,security_preservation,num_applied,program,selector,applied_passes,rejected_passes,num_rejected,num_passes_applied,num_steps_taken
random,201,201,0.0,14.0,14.0,100.0,0.0,benchmark_003,random,[],"[{'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,201,565,-181.09452736318408,14.0,14.0,100.0,,benchmark_003,,"['sroa', 'loop-unroll', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa', 'sroa']",,,10.0,10.0
O0,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_004,,,,,,
O2,47,30,36.17021276595745,8.0,2.0,25.0,0.0,benchmark_004,,,,,,
O3,47,30,36.17021276595745,8.0,2.0,25.0,0.0,benchmark_004,,,,,,
greedy,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_004,greedy,[],[],0.0,,
random,47,47,0.0,8.0,8.0,100.0,0.0,benchmark_004,random,[],"[{'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,47,36,23.404255319148938,8.0,8.0,100.0,,benchmark_004,,"['sroa', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg']",,,10.0,10.0
O0,48,48,0.0,4.0,4.0,100.0,0.0,benchmark_005,,,,,,
O2,48,24,50.0,4.0,8.0,200.0,0.0,benchmark_005,,,,,,
O3,48,24,50.0,4.0,8.0,200.0,0.0,benchmark_005,,,,,,
greedy,48,48,0.0,4.0,4.0,100.0,0.0,benchmark_005,greedy,[],[],0.0,,
random,48,48,0.0,4.0,4.0,100.0,0.0,benchmark_005,random,[],"[{'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,48,23,52.083333333333336,4.0,4.0,100.0,,benchmark_005,,"['sroa', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'sroa', 'simplifycfg', 'sroa', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg']",,,13.0,13.0
O0,48,48,0.0,4.0,4.0,100.0,0.0,benchmark_006,,,,,,
O2,48,24,50.0,4.0,8.0,200.0,0.0,benchmark_006,,,,,,
O3,48,24,50.0,4.0,8.0,200.0,0.0,benchmark_006,,,,,,
greedy,48,48,0.0,4.0,4.0,100.0,0.0,benchmark_006,greedy,[],[],0.0,,
random,48,48,0.0,4.0,4.0,100.0,0.0,benchmark_006,random,[],"[{'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,48,23,52.083333333333336,4.0,4.0,100.0,,benchmark_006,,"['sroa', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'early-cse', 'sroa', 'simplifycfg', 'sroa', 'simplifycfg', 'simplifycfg', 'simplifycfg', 'simplifycfg']",,,13.0,13.0
O0,47,47,0.0,7.0,7.0,100.0,0.0,benchmark_007,,,,,,
O2,47,21,55.319148936170215,7.0,4.0,57.14285714285714,0.0,benchmark_007,,,,,,
O3,47,21,55.319148936170215,7.0,4.0,57.14285714285714,0.0,benchmark_007,,,,,,
greedy,47,47,0.0,7.0,7.0,100.0,0.0,benchmark_007,greedy,[],[],0.0,,
random,47,47,0.0,7.0,7.0,100.0,0.0,benchmark_007,random,[],"[{'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,47,26,44.680851063829785,7.0,7.0,100.0,,benchmark_007,,['sroa'],,,1.0,10.0
O0,94,94,0.0,13.0,13.0,100.0,0.0,benchmark_008,,,,,,
O2,94,127,-35.1063829787234,13.0,25.0,192.30769230769232,0.0,benchmark_008,,,,,,
O3,94,127,-35.1063829787234,13.0,25.0,192.30769230769232,0.0,benchmark_008,,,,,,
greedy,94,94,0.0,13.0,13.0,100.0,0.0,benchmark_008,greedy,[],[],0.0,,
random,94,94,0.0,13.0,13.0,100.0,0.0,benchmark_008,random,[],"[{'pass': 'adce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'jump-threading', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'dce', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'simplifycfg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-unroll', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'inline', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'correlated-propagation', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'indvars', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sccp', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'early-cse', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'sroa', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-deletion', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'tailcallelim', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'reassociate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'gvn', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'aggressive-instcombine', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'loop-rotate', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'licm', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}, {'pass': 'mem2reg', 'reason': ""Error: 'SecurityOracle' object has no attribute 'compute_preservation_ratio'""}]",20.0,,
rl,94,116,-23.404255319148938,13.0,24.0,184.6153846153846,,benchmark_008,,"['sroa', 'loop-unroll', 'gvn', 'gvn', 'gvn', 'gvn', 'gvn', 'gvn', 'gvn', 'gvn']",,,10.0,10.0
O0,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_009,,,,,,
O2,192,158,17.708333333333336,11.0,3.0,27.27272727272727,0.0,benchmark_009,,,,,,
O3,192,158,17.708333333333336,11.0,3.0,27.27272727272727,0.0,benchmark_009,,,,,,
greedy,192,192,0.0,11.0,11.0,100.0,0.0,benchmark_009,greedy,[],[],0.0,,
